episode,episode_seed,reward,average_reward_20,epsilon,average_loss,decision_count,replay_size,single_count,cold_count,hot_count,dynamic_count
45,10044,-2.5866345244444444,-2.7349245822222223,0.81,0.004377562248219664,13,585,0,6,2,5
46,10045,-2.7464800177777784,-2.7315557875555556,0.8056818181818182,0.003968635735173638,13,598,0,8,1,4
47,10046,-2.8466374933333336,-2.7426248666666666,0.8013636363636364,0.004626655324290578,13,611,0,6,4,3
48,10047,-2.433624177777778,-2.7110632044444447,0.7970454545454546,0.004557066185113329,13,624,0,6,2,5
49,10048,-3.1204111288888887,-2.7350152880000005,0.7927272727272727,0.004988507385580585,13,637,0,4,5,4
50,10049,-2.371389724444444,-2.7194444853333333,0.788409090909091,0.0054665280577655025,13,650,0,5,5,3
51,10050,-2.9443116088888894,-2.7267285368888894,0.7840909090909092,0.005189109710045159,13,663,0,5,3,5
52,10051,-2.351182791111111,-2.708516464,0.7797727272727273,0.005055547459051013,13,676,0,1,5,7
53,10052,-2.7800788977777784,-2.7188175893333333,0.7754545454545455,0.004280426073819399,13,689,0,2,3,8
54,10053,-2.2801675022222225,-2.671231560888889,0.7711363636363636,0.003973367247873774,13,702,0,7,3,3
55,10054,-2.309689244444445,-2.6269988320000004,0.7668181818181818,0.0036915323356739604,13,715,0,5,2,6
56,10055,-2.630264035555556,-2.6316023244444446,0.7625,0.004487287405376824,13,728,0,8,2,3
57,10056,-2.081057066666667,-2.6153922088888892,0.7581818181818182,0.005485894803244334,13,741,0,4,1,8
58,10057,-3.2550950222222226,-2.6502402337777777,0.7538636363636364,0.004582850566993539,13,754,0,3,3,7
59,10058,-2.3472038222222222,-2.638255618666667,0.7495454545454545,0.0047078376922469875,13,767,0,5,3,5
