scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,failover_batches,hot_failover_function_stages,cold_failover_function_stages,total_cold_backup_startup_delay_ms
single_replica,0,1000,0.9891304347826086,0.017241379310344827,151.66666666666666,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,0,1000,1.0,0.017241379310344827,179.66289655172415,285.0,1549.128205128205,3072.0,1,0,3,1600.0
hot_standby,0,1000,1.0,0.0,152.07668965517243,285.0,3072.0,3072.0,1,3,0,0.0
trajectory_dynamic,0,1000,1.0,0.017241379310344827,179.66289655172415,285.0,1706.6666666666667,3072.0,1,0,3,1600.0
single_replica,1,1001,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,1,1001,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,1,1001,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,1,1001,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,2,1002,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,2,1002,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,2,1002,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,2,1002,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,3,1003,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,3,1003,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,3,1003,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,3,1003,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,4,1004,0.9782608695652174,0.017241379310344827,150.0,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,4,1004,1.0,0.017241379310344827,179.9464827586207,285.0,1549.128205128205,3072.0,1,0,3,1600.0
hot_standby,4,1004,1.0,0.0,152.360275862069,285.0,3072.0,3072.0,1,3,0,0.0
trajectory_dynamic,4,1004,1.0,0.017241379310344827,179.9464827586207,285.0,1706.6666666666667,3072.0,1,0,3,1600.0
single_replica,5,1005,0.9891304347826086,0.017241379310344827,151.66666666666666,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,5,1005,1.0,0.017241379310344827,179.66289655172415,285.0,1549.128205128205,3072.0,1,0,3,1600.0
hot_standby,5,1005,1.0,0.0,152.07668965517243,285.0,3072.0,3072.0,1,3,0,0.0
trajectory_dynamic,5,1005,1.0,0.017241379310344827,179.66289655172415,285.0,1706.6666666666667,3072.0,1,0,3,1600.0
single_replica,6,1006,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,6,1006,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,6,1006,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,6,1006,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,7,1007,0.9239130434782609,0.05172413793103448,146.8181818181818,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,7,1007,1.0,0.05172413793103448,238.81268965517242,508.5671999999979,1575.3846153846155,3072.0,3,0,9,4800.0
hot_standby,7,1007,1.0,0.0,156.05406896551725,285.0,3072.0,3072.0,3,9,0,0.0
trajectory_dynamic,7,1007,1.0,0.034482758620689655,211.2264827586207,285.0,1719.7948717948718,3072.0,3,3,6,3200.0
single_replica,8,1008,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
