episode,episode_seed,reward,average_reward_20,epsilon,average_loss,decision_count,replay_size,single_count,cold_count,hot_count,dynamic_count
23,10022,-2.8939329955555557,-2.952238855111111,0.905,0.006311124727989619,13,299,1,5,5,2
24,10023,-2.6804154311111112,-2.967243324444445,0.9006818181818181,0.005975956383806009,13,312,6,1,5,1
25,10024,-2.6047173866666675,-2.945789651555556,0.8963636363636364,0.005844061477826192,13,325,4,1,4,4
26,10025,-2.6638559111111113,-2.9421721822222224,0.8920454545454546,0.010699372523679184,13,338,2,5,4,2
27,10026,-2.7128666666666668,-2.912785936,0.8877272727272727,0.009625756181776524,13,351,3,3,5,2
28,10027,-3.064857422222222,-2.936196792888889,0.8834090909090909,0.008075426010271678,13,364,4,4,0,5
29,10028,-2.680185564444445,-2.9230816675555564,0.8790909090909091,0.007291257381439209,13,377,4,5,2,2
30,10029,-2.799893831111112,-2.905118390222223,0.8747727272727273,0.006956856053035993,13,390,5,1,3,4
31,10030,-2.721884177777778,-2.8997760808888895,0.8704545454545455,0.006338669094615257,13,403,3,3,3,4
32,10031,-2.899600355555556,-2.9149230702222226,0.8661363636363637,0.006142900611918706,13,416,3,1,4,5
33,10032,-2.291144444444445,-2.8523707982222226,0.8618181818181818,0.006310425716667221,13,429,5,5,2,1
34,10033,-3.0626700088888894,-2.851640964444445,0.8575,0.007879511417391209,13,442,3,4,3,3
35,10034,-3.054343822222222,-2.8596181377777783,0.8531818181818182,0.0061556721607652996,13,455,0,4,5,4
36,10035,-2.5215275200000002,-2.8020266951111115,0.8488636363636364,0.0065164074230079465,13,468,1,2,3,7
37,10036,-2.4585927111111117,-2.792277017777778,0.8445454545454545,0.00590148251145505,13,481,3,4,2,4
38,10037,-2.631912302222222,-2.7864622853333336,0.8402272727272727,0.0058538035955280066,13,494,5,4,2,2
39,10038,-2.417678062222222,-2.766812024888889,0.8359090909090909,0.005517540087636847,13,507,8,2,1,2
40,10039,-2.659701671111111,-2.765765441777778,0.831590909090909,0.004323039544173158,13,520,4,4,2,3
41,10040,-2.931037528888889,-2.724182085333333,0.8272727272727273,0.006492884023688161,13,533,4,7,1,1
42,10041,-2.6926559111111117,-2.7221736862222223,0.8229545454545455,0.006008377961384563,13,546,6,2,2,3
43,10042,-2.7148976888888887,-2.7132219208888886,0.8186363636363636,0.005045036946494992,13,559,5,4,1,3
44,10043,-2.834461102222222,-2.7209242044444446,0.8143181818181818,0.004385969046360025,13,572,4,4,1,4
45,10044,-2.627223057777778,-2.722049488,0.81,0.00438800473840764,13,585,7,1,2,3
46,10045,-2.986480017777778,-2.7381806933333337,0.8056818181818182,0.00342364080895025,13,598,6,2,2,3
47,10046,-2.783006471111111,-2.7416876835555555,0.8013636363636364,0.003346730014667488,13,611,3,6,1,3
48,10047,-2.360168337777778,-2.7064532293333334,0.7970454545454546,0.0042400465239412505,13,624,9,1,1,2
49,10048,-2.58767168,-2.7018275351111116,0.7927272727272727,0.004977819760544942,13,637,3,5,3,2
50,10049,-2.2213897244444447,-2.6729023297777776,0.788409090909091,0.003973225937583125,13,650,4,3,3,3
51,10050,-2.7930444444444444,-2.6764603431111116,0.7840909090909092,0.003673982125921891,13,663,7,1,2,3
52,10051,-2.454516124444445,-2.6542061315555556,0.7797727272727273,0.004542182575768003,13,676,2,4,3,4
53,10052,-2.8325788977777777,-2.6812778542222224,0.7754545454545455,0.003156852415906122,13,689,3,3,3,4
54,10053,-2.5095008355555555,-2.653619395555556,0.7711363636363636,0.0037867684956066883,13,702,4,6,1,2
55,10054,-2.309689244444444,-2.6163866666666666,0.7668181818181818,0.004060369969990391,13,715,2,4,1,6
56,10055,-2.8058927111111114,-2.6306049262222224,0.7625,0.004554206281542205,13,728,4,4,3,2
57,10056,-2.5007792888888885,-2.632714255111111,0.7581818181818182,0.004353095472861941,13,741,6,2,0,5
58,10057,-3.2050950222222223,-2.661373391111111,0.7538636363636364,0.0045686885714530945,13,754,1,5,2,5
59,10058,-2.311355555555555,-2.656057265777778,0.7495454545454545,0.0038170698009288083,13,767,7,4,1,1
