scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
fixed_dynamic,9,5009,0.9782608695652174,0.05172413793103448,210.66301754385967,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12007.792000000001,2073.6,640.0,15000.0,770.0,30491.392
two_timescale,9,5009,0.9782608695652174,0.05172413793103448,210.66301754385967,285.0,2179.2820512820513,3072.0,6,3200.0,13,4,12007.792000000001,2549.76,640.0,15000.0,1010.0,31207.552000000003
fixed_single,10,5010,0.9347826086956522,0.05172413793103448,148.54545454545453,285.0,1536.0,1536.0,0,0.0,1,0,8170.0,1797.1200000000001,0.0,15000.0,770.0,25737.120000000003
fixed_cold,10,5010,0.9565217391304348,0.05172413793103448,179.58742857142857,285.0,1549.128205128205,3072.0,3,1600.0,1,0,10056.896,1812.48,320.0,15000.0,770.0,27959.376
fixed_hot,10,5010,0.9565217391304348,0.034482758620689655,151.01600000000002,285.0,3072.0,3072.0,0,0.0,1,0,8456.896,3594.2400000000002,0.0,10000.0,770.0,22821.136
fixed_dynamic,10,5010,0.9565217391304348,0.05172413793103448,179.58742857142857,285.0,1759.179487179487,3072.0,3,1600.0,1,0,10056.896,2058.2400000000002,320.0,15000.0,770.0,28205.136
two_timescale,10,5010,0.9565217391304348,0.05172413793103448,179.58742857142857,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10056.896,2534.4,320.0,15000.0,1010.0,28921.296000000002
fixed_single,11,5011,0.9565217391304348,0.05172413793103448,152.0,285.0,1536.0,1536.0,0,0.0,1,0,8360.0,1797.1200000000001,0.0,15000.0,770.0,25927.120000000003
fixed_cold,11,5011,1.0,0.05172413793103448,237.8929655172414,508.5671999999979,1575.3846153846155,3072.0,9,4800.0,1,0,13797.792000000001,1843.2,960.0,15000.0,770.0,32370.992000000002
fixed_hot,11,5011,1.0,0.0,155.1343448275862,285.0,3072.0,3072.0,0,0.0,1,0,8997.792,3594.2400000000002,0.0,0.0,770.0,13362.032
fixed_dynamic,11,5011,1.0,0.05172413793103448,237.8929655172414,508.5671999999979,1785.4358974358975,3072.0,9,4800.0,1,0,13797.792000000001,2088.96,960.0,15000.0,770.0,32616.752
two_timescale,11,5011,1.0,0.017241379310344827,182.72055172413795,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10597.792000000001,2534.4,320.0,5000.0,1010.0,19462.192000000003
fixed_single,12,5012,0.8804347826086957,0.10344827586206896,147.98076923076923,285.0,1536.0,1536.0,0,0.0,1,0,7695.0,1797.1200000000001,0.0,30000.0,770.0,40262.12
fixed_cold,12,5012,1.0,0.10344827586206896,325.9470344827586,1792.1652,1614.7692307692307,3072.0,18,9600.0,1,0,18904.928000000004,1889.28,1920.0,30000.0,770.0,53484.208
fixed_hot,12,5012,1.0,0.0,160.42979310344828,285.2844,3072.0,3072.0,0,0.0,1,0,9304.928,3594.2400000000002,0.0,0.0,770.0,13669.168
fixed_dynamic,12,5012,1.0,0.08620689655172414,298.3608275862069,1792.1652,1811.6923076923076,3072.0,15,8000.0,1,0,17304.928000000004,2119.68,1600.0,25000.0,770.0,46794.60800000001
two_timescale,12,5012,1.0,0.017241379310344827,188.016,303.61319999999984,2166.153846153846,3072.0,3,1600.0,13,4,10904.928,2534.4,320.0,5000.0,1010.0,19769.328
fixed_single,13,5013,0.9347826086956522,0.06896551724137931,151.2962962962963,285.0,1536.0,1536.0,0,0.0,1,0,8170.0,1797.1200000000001,0.0,20000.0,770.0,30737.120000000003
fixed_cold,13,5013,1.0,0.06896551724137931,267.1497931034483,1775.448,1588.5128205128206,3072.0,12,6400.0,1,0,15494.688,1858.56,1280.0,20000.0,770.0,39403.248
fixed_hot,13,5013,1.0,0.0,156.80496551724138,285.0,3072.0,3072.0,0,0.0,1,0,9094.688,3594.2400000000002,0.0,0.0,770.0,13458.928
fixed_dynamic,13,5013,1.0,0.05172413793103448,239.5635862068966,508.5671999999979,1785.4358974358975,3072.0,9,4800.0,1,0,13894.688,2088.96,960.0,15000.0,770.0,32713.648
two_timescale,13,5013,1.0,0.017241379310344827,184.3911724137931,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10694.688,2534.4,320.0,5000.0,1010.0,19559.088
fixed_single,14,5014,0.9782608695652174,0.034482758620689655,152.67857142857142,285.0,1536.0,1536.0,0,0.0,1,0,8550.0,1797.1200000000001,0.0,10000.0,770.0,21117.120000000003
fixed_cold,14,5014,1.0,0.034482758620689655,208.63613793103448,285.0,1562.2564102564102,3072.0,6,3200.0,1,0,12100.896,1827.8400000000001,640.0,10000.0,770.0,25338.736
fixed_hot,14,5014,1.0,0.0,153.46372413793105,285.0,3072.0,3072.0,0,0.0,1,0,8900.896,3594.2400000000002,0.0,0.0,770.0,13265.136
fixed_dynamic,14,5014,1.0,0.034482758620689655,208.63613793103448,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12100.896,2073.6,640.0,10000.0,770.0,25584.496
two_timescale,14,5014,1.0,0.0,153.46372413793105,285.0,2153.025641025641,3072.0,0,0.0,13,4,8900.896,2519.04,0.0,0.0,1010.0,12429.936000000002
fixed_single,15,5015,0.9347826086956522,0.05172413793103448,148.54545454545453,285.0,1536.0,1536.0,0,0.0,1,0,8170.0,1797.1200000000001,0.0,15000.0,770.0,25737.120000000003
fixed_cold,15,5015,0.9456521739130435,0.05172413793103448,177.59728571428573,285.0,1549.128205128205,3072.0,3,1600.0,1,0,9945.448,1812.48,320.0,15000.0,770.0,27847.928
fixed_hot,15,5015,0.9456521739130435,0.034482758620689655,149.02585714285715,285.0,3072.0,3072.0,0,0.0,1,0,8345.448,3594.2400000000002,0.0,10000.0,770.0,22709.688000000002
fixed_dynamic,15,5015,0.9456521739130435,0.05172413793103448,177.59728571428573,285.0,1759.179487179487,3072.0,3,1600.0,1,0,9945.448,2058.2400000000002,320.0,15000.0,770.0,28093.688000000002
two_timescale,15,5015,0.9456521739130435,0.05172413793103448,177.59728571428573,285.0,2166.153846153846,3072.0,3,1600.0,13,4,9945.448,2534.4,320.0,15000.0,1010.0,28809.847999999998
fixed_single,16,5016,0.9021739130434783,0.10344827586206896,151.6346153846154,285.0,1536.0,1536.0,0,0.0,1,0,7885.0,1797.1200000000001,0.0,30000.0,770.0,40452.12
fixed_cold,16,5016,0.9891304347826086,0.10344827586206896,299.9400701754386,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,17096.584000000003,1873.92,1600.0,30000.0,770.0,51340.504
fixed_hot,16,5016,0.9891304347826086,0.017241379310344827,159.58919298245613,285.0,3072.0,3072.0,0,0.0,1,0,9096.584,3594.2400000000002,0.0,5000.0,770.0,18460.824
fixed_dynamic,16,5016,0.9891304347826086,0.08620689655172414,271.8698947368421,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15496.583999999999,2104.32,1280.0,25000.0,770.0,44650.903999999995
two_timescale,16,5016,0.9891304347826086,0.05172413793103448,215.7295438596491,307.6687999999995,2179.2820512820513,3072.0,6,3200.0,13,4,12296.583999999999,2549.76,640.0,15000.0,1010.0,31496.343999999997
fixed_single,17,5017,0.967391304347826,0.034482758620689655,150.98214285714286,285.0,1536.0,1536.0,0,0.0,1,0,8455.0,1797.1200000000001,0.0,10000.0,770.0,21022.120000000003
fixed_cold,17,5017,1.0,0.034482758620689655,208.91972413793104,285.0,1562.2564102564102,3072.0,6,3200.0,1,0,12117.344000000001,1827.8400000000001,640.0,10000.0,770.0,25355.184
