reference_policy,baseline_policy,metric_name,optimization_direction,sample_count,reference_mean,baseline_mean,raw_difference_mean,improvement_mean,improvement_ci_low,improvement_ci_high,ci_excludes_zero,effect_size_dz,win_count,tie_count,loss_count,raw_p_value,holm_adjusted_p_value,significant_0_05,conclusion
Double-DQN,Fixed-COLD,average_delay_ms,lower,50,220.56950324673755,264.10456661047607,-43.5350633637385,43.5350633637385,32.85558881529843,54.58993266866225,True,1.098412074506544,34,16,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-HOT,average_delay_ms,lower,50,220.56950324673755,156.54037085462872,64.0291323921088,-64.0291323921088,-77.39281903819109,-50.88024952663798,True,-1.32247660983476,0,9,41,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-DYNAMIC,average_delay_ms,lower,50,220.56950324673755,246.20429869931885,-25.634795452581294,25.634795452581294,17.230308529945546,34.541226420282676,True,0.8068297951411991,28,20,2,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Rule-Based,average_delay_ms,lower,50,220.56950324673755,188.8259500062696,31.74355324046794,-31.74355324046794,-40.62958886243823,-23.469403445918875,True,-1.0286149924279449,0,17,33,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-SINGLE,average_memory_mb,lower,50,1861.5794871794872,1536.0,325.5794871794872,-325.5794871794872,-335.81948717948717,-315.6020512820514,True,-8.836007350989236,0,0,50,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-COLD,average_memory_mb,lower,50,1861.5794871794872,1586.674871794872,274.90461538461545,-274.90461538461545,-282.78153846153856,-266.5025641025641,True,-9.111204635988733,0,0,50,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-HOT,average_memory_mb,lower,50,1861.5794871794872,3072.0,-1210.4205128205128,1210.4205128205128,1200.180512820513,1220.3979487179488,True,32.84999507101643,50,0,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-DYNAMIC,average_memory_mb,lower,50,1861.5794871794872,1735.8112820512822,125.7682051282052,-125.7682051282052,-133.90769230769237,-117.1035897435898,True,-4.141558207522803,0,1,49,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Rule-Based,average_memory_mb,lower,50,1861.5794871794872,2115.7415384615388,-254.1620512820513,254.1620512820513,246.81025641025644,261.2512820512821,True,9.453145606244606,50,0,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-SINGLE,total_cold_start_delay_ms,lower,50,3680.0,0.0,3680.0,-3680.0,-4448.0,-2944.0,True,-1.3211820031781714,0,9,41,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-COLD,total_cold_start_delay_ms,lower,50,3680.0,6176.0,-2496.0,2496.0,1888.0,3136.0,True,1.101290019512992,34,16,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-HOT,total_cold_start_delay_ms,lower,50,3680.0,0.0,3680.0,-3680.0,-4448.0,-2912.0,True,-1.3211820031781714,0,9,41,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-DYNAMIC,total_cold_start_delay_ms,lower,50,3680.0,5152.0,-1472.0,1472.0,992.0,1984.0,True,0.8070200784585077,28,20,2,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Rule-Based,total_cold_start_delay_ms,lower,50,3680.0,1856.0,1824.0,-1824.0,-2304.0,-1344.0,True,-1.0300419107431362,0,17,33,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-SINGLE,reconfiguration_count,lower,50,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-COLD,reconfiguration_count,lower,50,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-HOT,reconfiguration_count,lower,50,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-DYNAMIC,reconfiguration_count,lower,50,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Rule-Based,reconfiguration_count,lower,50,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
